Date,Weekly_Sales,days_since_start
2010-01-10,42239875.87,0
2010-02-04,50423831.26,25
2010-02-07,48917484.5,28
2010-02-19,48276993.78,40
2010-02-26,43968571.13,47
2010-03-09,47194257.61,58
2010-03-12,49909027.88,61
2010-03-19,44988974.64,68
2010-03-26,44133961.05,75
2010-04-06,50188543.12,86
2010-04-16,45183667.08,96
2010-04-23,44734452.56,103
2010-04-30,43705126.71,110
2010-05-02,49750740.5,112
2010-05-03,46871470.3,113
2010-05-11,45781981.89,121
2010-05-14,45330080.2,124
2010-05-21,45120108.06,131
2010-05-28,47757502.56,138
2010-06-08,48204999.12,149
2010-06-18,47622046.23,159
2010-06-25,46609036.29,166
2010-07-05,48503243.52,176
2010-07-16,46243899.58,187
2010-07-23,44888849.11,194
2010-07-30,44630363.42,201
2010-08-10,45102974.23,212
2010-08-13,46464418.410000004,215
2010-08-20,47060952.92,222
2010-08-27,45909740.44,229
2010-09-04,47365290.44,237
2010-09-07,47899529.37,240
2010-09-17,43080726.51,250
2010-09-24,41358514.410000004,257
2010-10-09,45634397.84,272
2010-10-12,55666770.39,275
2010-10-15,43149473.45,278
2010-10-22,43066669.52,285
2010-10-29,43602830.95,292
2010-11-06,47826546.72,300
2010-11-19,45125584.18,313
2010-11-26,65821003.24,320
2010-12-02,48336677.63,326
2010-12-03,45925396.51,327
2010-12-11,46124800.83,335
2010-12-17,61820799.85,341
2010-12-24,80931415.6,348
2010-12-31,40432519.0,355
2011-01-04,43458991.19,359
2011-01-07,47578519.5,362
2011-01-14,40673678.04,369
2011-01-21,40654648.03,376
2011-01-28,39599852.99,383
2011-02-09,45376623.269999996,395
2011-02-12,49390556.49,398
2011-02-18,48716164.12,404
2011-02-25,44125859.839999996,411
2011-03-06,48771994.18,420
2011-03-18,44872325.97,432
2011-03-25,42876199.18,439
2011-04-02,46153111.120000005,447
2011-04-03,46980603.74,448
2011-04-11,48655544.3,456
2011-04-15,44973328.14,460
2011-04-22,48676692.06,467
2011-04-29,43530032.78,474
2011-05-08,48015466.97,483
2011-05-13,45446144.82,488
2011-05-20,44046598.01,495
2011-05-27,45293457.04,502
2011-06-05,46861958.29,511
2011-06-17,47447561.77,523
2011-06-24,45884094.58,530
2011-07-01,42775787.769999996,537
2011-07-10,47211688.36,546
2011-07-15,45515929.92,551
2011-07-22,45274411.39,558
2011-07-29,43683274.28,565
2011-08-04,45887466.8,571
2011-08-07,47859263.78,574
2011-08-19,46917347.62,586
2011-08-26,47416948.45,593
2011-09-09,46763227.53,607
2011-09-12,55561147.7,610
2011-09-16,43793960.08,614
2011-09-23,42718096.73,621
2011-09-30,42195830.81,628
2011-10-06,47669734.66,634
2011-10-14,44374820.3,642
2011-10-21,45818953.44,649
2011-10-28,45855821.05,656
2011-11-02,47336192.79,661
2011-11-03,44627319.4,662
2011-11-11,48474224.75,670
2011-11-18,46438980.56,677
2011-11-25,66593605.26,684
2011-12-08,46249569.21,697
2011-12-16,60085695.94,705
2011-12-23,76998241.31,712
2011-12-30,46042461.04,719
2012-01-06,48281649.72,726
2012-01-13,42023078.48,733
2012-01-20,42080996.56,740
2012-01-27,39834974.67,747
2012-02-03,46861034.97,754
2012-02-17,50197056.96,768
2012-02-24,45771506.57,775
2012-03-02,46085608.089999996,782
2012-03-08,47485899.56,788
2012-03-16,46901504.94,796
2012-03-23,44993794.45,803
2012-03-30,45272862.02,810
2012-04-05,47124197.93,816
2012-04-13,46629261.41,824
2012-04-20,45072529.78,831
2012-04-27,43716798.89,838
2012-05-10,47566639.31,851
2012-05-18,46823939.22,859
2012-05-25,47892463.31,866
2012-06-01,44955421.95,873
2012-06-04,53502315.87,876
2012-06-07,51253021.879999995,879
2012-06-15,48412110.7,887
2012-06-22,47668284.97,894
2012-06-29,46597112.12,901
2012-07-09,48330059.31,911
2012-07-13,46099732.1,915
2012-07-20,46059543.449999996,922
2012-07-27,44097154.97,929
2012-08-06,49651171.78,939
2012-08-17,47354452.05,950
2012-08-24,47447323.6,957
2012-08-31,47159639.43,964
2012-09-03,47480454.11,967
2012-09-14,44226038.65,978
2012-09-21,44354547.11,985
2012-09-28,43734899.4,992
2012-10-02,50009407.92,996
2012-10-08,47403451.04,1002
2012-10-19,45122410.57,1013
2012-10-26,45544116.29,1020
2012-11-05,46925878.99,1030
2012-12-10,46128514.25,1065
